TITLE,ARTIST
attitude,Leikeli47
lose my mind,Jamie Jones
lose my mind,Sonny Banks
umbra,Ganon
rise,Ace Aura
rise,Culture Shock
pulse,Aidan Rudd
reflection,"Alenn, Cytrax"
all i want,Franky Nuts
alone,Neo Fresco
alone,Breakout
another day,Modestep
atrium,SirensCeol
body,"Loud Luxury, Brando"
bad bitches,Gerry Gonza
fun,Brandon Reeve
fun,Bandlez
hustle,Bandlez
bang bang bang,"London Nebel, LeRoy"
weeble wobble,Barely Alive
diamonds,Basstrick
underground,Volac
underground,Frivolous Jackson
underground,Basstrick
be mine,Barely Alive
power,"Slander, Nghtmre"
power,"Kompany, Blanke"
power,Ajapai
power,Eptic
power,Excision
power,Skism
get low,Dillon Francis & DJ Snake
blackout,"4B, Flosstradamus"
blackout,"Chocolate Puma, Firebeatz"
tonight,Diamond Eyes
tonight,Blaine Stranger
tonight,Habstrakt
boom,Damien N-Drix
boom,Blanke
boom,Nostalgix
boom,Skellytn
boom,Megalodon
boom,Malaa
dimension,Inkline
blast,ConRank
bloodshed,"SampliFire, Badphaze"
fool,Blossom
breakout,FWLR & Twistex
bring it back,"HoneyLuv, Cakes da Killa"
bring it back,"Vinn!e, illusionize"
bring it back,Dodge & Fuski
bring it back,Carol Seubert
bring it back,No Thanks
bring it back,TV Noise
bring it back,Tisoki
bring it back,Fetish
burn,Twine
control,Lucille Croft
control,Habstrakt
control,Electric Guest
thinking about you,Calippo
dangerous,Jauz & Jump System
dangerous,Nostalgix & AC Slater
dangerous,Big Data
champion sound,"Gent, Jawns"
resonate,Lucille Croft
turn off the lights,Nicky Romero
stay with me,Chris Lake
money,Cardi B
prepare to die,Barely Alive
coffee,Miguel
move back,"Crankdat, Savage"
oldskool,Tony Romera
dance floor,Jauz & Sumr Camp
never,Neyvo
knockout,JGE & Dread MC
knockout,Trampa
knockout,Echo Drone
deep down,Distro
deja vu,Wolfgang Gartner
demons,Zeds dead
work it,Delta Heavy
work it,Barely Alive
all night,Habstrakt
elevate,Cookie Monsta
danger,NotioN
magic,Mr Virgo
the pit,Fabian Mazur & Snavs
revival,Zomboy & MUST DIE!
no good,Zonderling x Don Diablo
dreams,Rootkit
drop top,NuBass
feel your love,"Rootkit, Bryan Finlay"
feel your love,Valentino Khan
ridin',"Eliminate, Nato Feelz"
tear it up,Charlie Zane
open your eyes,Dimond Saints
engage,"Turno, Skantia"
no mercy,Dirtyphonics
lemme see,Tropkillaz & JSTJR
escape,Alpine Universe
falling,Project 46 & Felicity
falling,Delo Sveii
falling,Leisure
falling,Made By Tsuki
feel the volume (joyryde 'stick it in reverse' mix),Jauz
feels good,"Flux Pavilion, Tom Cane"
flight,Jarvis
flying,"Grandtheft, Smalltown DJs"
fuego,"ID46, Sebastian Bronk"
get down,Koos
get down,Hooders
get down,Kage
get down,Wenzday
get down,Kairo Kingdom
get out,Reaperz
get up,Ray Volpe
get up,Whipped Cream
ghetto symphony,LOGE21
give it up,Knife Party
gravity,Jaggs
grimey,Tony Romera
guilt,Nero
hostile,Habstrakt
paradise,Modestep
the one,Masteria
have it all,"Elephante, Nevve"
lights go down,Hayden James & SIDEPIECE
heavy,"Marten HÃ¸rger, Neon Steve"
hold on,"Bhaskar, Shapeless, Kinder"
hold on,Panda Eyes
back again,"Holy Goof, Jauz"
rampage,Honey & Badger
way back,Benzmixer
how i feel,"Antiserum, King Salomon"
how i feel,Brown and Gammon
hysteria,Effin
i wanna,"Habstrakt, Jace Mek"
infinite,Habstrakt
insane,"Tesen, Filthy Habits"
war,Jack Beats & Diplo
unholy,Somnium Sound
lights out,Kayzo
lost,"Kayzo, O Sad"
lost,"Buggsy, Otis Brown"
lost,Wenzday
malice,Kayzo
last man standing,SampliFire
take control,Kream
la la la,Naughty Boy
get it right,Lesgo
let me go,"Sullivan King, Wooli"
life & death,Wraith V
need you,"Lil Texas, Kayzo"
need you,Montell2099
oblivion,LSN
revolt,Black Tiger Sex Machine
pull up,Martin Jensen
no time,Barely Alive
monsters,Social Kid
neon,Televisor
pressure,RetroVision
pressure,Nicky Romero
pressure,RL Grime
shakedown,Jackal
og,Dubamine
somebody,"The Chainsmokers, Drew Love"
set me free,"Dillon Francis, Martin Garrix"
set me free,"Marshmello, Bellecour"
emotion,Purple Disco Machine
over you,soupandreas
over,SUMR CAMP
party starter,Flux Pavilion & Eliminate
psycho,"Ghastly, Moonboy"
psycho,Sullivan King
psycho,Modestep
push it,Tisoki
runaway,"Lick, Tori Letzler"
redlight,"Nghtmre, A$AP Ferg"
reload,Snavs
remember,"Sonny Fodera, Gorgon City, & Danny Howard"
i can't,Tony Romera
scream,TV Noise
misbehave,Ship Wrek & Disco Lines
shutdown,Barely Alive
stay,SNAVS
so long,"Slander, Juliana Chahayed"
stigmata,Code:Pandorum
stress,Dustycloud
sundown,Jarvis (UK)
the end,Petit Biscuit
titan,Andromedik
touch the sky,"Kanye West, Lupe Fiasco"
undone,Desmeon
vibe,Dolla Bill
vibe,Grey Killer
you,Sebastian Knight
